entry_time,exit_time,action,entry_price,exit_price,size,status,fee,ideal_pnl,pnl,reason,stop_loss,take_profit,max_profit_price,trailing_stop_active,half_exit_done,original_size
2025-12-04T20:00:06+00:00,2025-12-05T11:36:03+00:00,short,5.935,5.777,1684.92,closed,11.84,266.22,254.38,stop_loss,5.7762,5.7714,5.769,False,False,3369.84
2025-12-04T20:00:06+00:00,2025-12-05T11:35:45+00:00,short,5.935,5.769,1684.92,closed,11.83,279.7,267.86,half_exit_take_profit,6.1722,5.7714,5.769,False,False,3369.84
2025-12-05T17:00:05+00:00,2025-12-06T20:00:05+00:00,short,5.543,5.549,2164.89,closed,14.41,-12.99,-27.4,Replace,5.7943,5.3697,5.414,False,False,2164.89
2025-12-06T14:00:05+00:00,2025-12-06T14:18:38+00:00,long,5.521,5.579,1086.76,closed,7.24,63.03,55.79,stop_loss,5.5796,5.5807,5.585,False,False,2173.52
2025-12-06T14:00:05+00:00,2025-12-06T14:18:17+00:00,long,5.521,5.584,1086.76,closed,7.24,68.47,61.22,half_exit_take_profit,5.3637,5.5807,5.584,False,False,2173.52
2025-12-06T20:00:17+00:00,2025-12-07T14:24:34+00:00,short,5.554,5.432,1089.98,closed,7.18,132.98,125.79,stop_loss,5.429,5.4414,5.424,False,False,2179.97
2025-12-06T20:00:17+00:00,2025-12-07T14:24:15+00:00,short,5.554,5.44,1089.98,closed,7.19,124.26,117.07,half_exit_take_profit,5.7173,5.4414,5.44,False,False,2179.97
2025-12-10T22:00:06+00:00,2025-12-11T00:49:54+00:00,short,5.682,5.494,791.97,closed,5.31,148.89,143.58,stop_loss,5.4921,5.5016,5.483,False,False,1583.95
2025-12-10T22:00:06+00:00,2025-12-11T00:47:06+00:00,short,5.682,5.501,791.97,closed,5.31,143.35,138.03,half_exit_take_profit,5.9436,5.5016,5.501,False,False,1583.95
2025-12-11T15:00:06+00:00,2025-12-11T17:00:07+00:00,short,5.325,5.335,1690.14,closed,10.81,-16.9,-27.71,Replace,5.527,5.1857,5.304,False,False,1690.14
2025-12-11T16:00:06+00:00,2025-12-11T18:45:32+00:00,long,5.351,5.428,840.96,closed,5.44,64.75,59.32,stop_loss,5.4289,5.4293,5.436,False,False,1681.93
2025-12-11T17:00:18+00:00,2025-12-11T21:17:09+00:00,short,5.329,5.537,1688.87,closed,11.01,-256.3,-262.3,stop_loss,5.5364,5.1859,5.321,False,False,1688.87
2025-12-11T16:00:06+00:00,2025-12-11T18:44:17+00:00,long,5.351,5.43,840.96,closed,5.44,66.44,61.0,half_exit_take_profit,5.1446,5.4293,5.43,False,False,1681.93
2025-12-11T19:00:06+00:00,2025-12-11T21:08:53+00:00,long,5.401,5.49,833.18,closed,5.44,74.15,68.71,stop_loss,5.4945,5.4832,5.502,False,False,1666.36
2025-12-11T19:00:06+00:00,2025-12-11T21:08:09+00:00,long,5.401,5.486,833.18,closed,5.44,70.82,65.38,half_exit_take_profit,5.1843,5.4832,5.486,False,False,1666.36
2025-12-13T12:00:06+00:00,2025-12-14T05:00:05+00:00,short,5.454,5.5,1650.16,closed,10.85,-75.91,-86.75,Replace,5.6009,5.3527,5.407,False,False,1650.16
2025-12-14T05:00:17+00:00,2025-12-14T11:03:30+00:00,short,5.496,5.418,818.78,closed,5.36,63.86,58.5,stop_loss,5.41,5.4092,5.406,False,False,1637.55
2025-12-14T05:00:17+00:00,2025-12-14T11:03:20+00:00,short,5.496,5.406,818.78,closed,5.36,73.69,68.33,half_exit_take_profit,5.6218,5.4092,5.406,False,False,1637.55
2025-12-14T15:00:06+00:00,2025-12-14T22:31:04+00:00,short,5.385,5.297,835.65,closed,5.36,73.54,68.18,stop_loss,5.292,5.2886,5.287,False,False,1671.31
2025-12-14T15:00:06+00:00,2025-12-14T22:30:49+00:00,short,5.385,5.287,835.65,closed,5.35,81.89,76.54,half_exit_take_profit,5.5248,5.2886,5.287,False,False,1671.31
2025-12-16T05:00:05+00:00,2025-12-16T14:51:06+00:00,short,5.0,5.204,3600.0,closed,22.04,-334.4,-356.44,stop_loss,5.2037,4.8595,4.977,False,False,3600.0
2025-12-16T18:00:06+00:00,2025-12-17T14:47:14+00:00,short,5.162,5.021,1743.51,closed,10.65,245.83,235.18,stop_loss,5.0193,5.0182,5.014,False,False,3487.02
2025-12-16T18:00:06+00:00,2025-12-17T14:47:04+00:00,short,5.162,5.014,1743.51,closed,10.65,258.04,247.39,half_exit_take_profit,5.3706,5.0182,5.014,False,False,3487.02
2025-12-17T17:00:06+00:00,2025-12-18T08:35:29+00:00,short,5.018,5.273,3587.09,closed,22.15,-414.71,-436.86,stop_loss,5.2676,4.8459,4.854,False,False,3587.09
2025-12-20T11:00:05+00:00,2025-12-20T14:43:24+00:00,short,5.603,5.904,3212.56,closed,22.18,-366.98,-359.16,stop_loss,5.9013,5.3973,5.59,False,False,3212.56
2025-12-21T06:00:06+00:00,2025-12-22T19:50:14+00:00,long,6.376,6.023,2823.09,closed,21.0,-396.55,-417.55,stop_loss,6.0268,6.5084,6.416,False,False,2823.09
2025-12-22T15:00:06+00:00,2025-12-22T19:52:08+00:00,short,6.215,6.025,1448.11,closed,10.63,275.14,264.51,stop_loss,6.0228,6.0176,6.013,False,False,2896.22
2025-12-22T15:00:06+00:00,2025-12-22T19:50:42+00:00,short,6.215,6.017,1448.11,closed,10.63,286.73,276.1,half_exit_take_profit,6.5012,6.0176,6.017,False,False,2896.22
2025-12-23T07:00:05+00:00,2025-12-23T08:52:06+00:00,short,5.993,5.981,1501.75,closed,10.79,18.02,60.23,stop_loss,5.9805,5.992,5.972,False,False,3003.5
2025-12-23T07:00:05+00:00,2025-12-23T08:51:06+00:00,short,5.993,5.991,1501.75,closed,10.8,3.0,43.26,half_exit_take_profit,6.2414,5.992,5.991,False,False,3003.5
2025-12-25T20:00:06+00:00,2025-12-26T00:21:25+00:00,short,5.927,5.78,1518.47,closed,10.67,223.22,212.55,stop_loss,5.77952,5.77502,5.771,True,True,3036.95
2025-12-25T20:00:06+00:00,2025-12-26T00:18:08+00:00,short,5.927,5.775,1518.47,closed,10.66,230.81,220.15,half_exit_take_profit,6.14737,5.77502,5.775,False,True,3036.95
2025-12-26T04:00:06+00:00,2025-12-26T06:18:00+00:00,long,5.905,6.022,1524.13,closed,10.91,178.32,167.42,stop_loss,6.02224,6.00308,6.031,True,True,3048.26
2025-12-26T04:00:06+00:00,2025-12-26T06:15:15+00:00,long,5.905,6.005,1524.13,closed,10.89,152.41,141.52,half_exit_take_profit,5.64642,6.00308,6.005,False,True,3048.26
2025-12-27T10:00:05+00:00,2025-12-27T22:49:16+00:00,short,5.964,5.887,1509.05,closed,10.73,116.2,105.47,stop_loss,5.84977,5.85382,5.845,True,True,3018.11
2025-12-27T10:00:05+00:00,2025-12-27T22:49:08+00:00,short,5.964,5.845,1509.05,closed,10.69,179.58,168.89,half_exit_take_profit,6.12377,5.85382,5.845,False,True,3018.11
2025-12-27T23:00:06+00:00,2025-12-28T02:22:29+00:00,short,5.881,6.045,3060.7,closed,21.9,-401.96,-423.86,stop_loss,6.04474,5.76808,5.88,False,False,3060.7
2025-12-28T01:00:06+00:00,2025-12-28T02:25:03+00:00,long,5.973,6.048,1506.78,closed,10.87,113.01,102.14,stop_loss,6.04895,6.03776,6.055,True,True,3013.56
2025-12-28T01:00:06+00:00,2025-12-28T02:18:00+00:00,long,5.973,6.04,1506.78,closed,10.86,100.95,90.09,half_exit_take_profit,5.80227,6.03776,6.04,False,True,3013.56
